country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,latitude,longitude,Region
Kazakhstan,124,246,12,6.8,48.0196,66.9237,Asia
Kenya,58,22,2,1.8,0.0236,37.9062,Africa
Kiribati,21,34,1,1.0,1.4421,172.983,Oceania
Kuwait,0,0,0,0.0,29.3117,47.4818,Asia
Kyrgyzstan,31,97,6,2.4,41.2044,74.7661,Asia
Laos,62,0,123,6.2,19.8563,102.4955,Asia
Latvia,281,216,62,10.5,56.8796,24.6032,Europe
Lebanon,20,55,31,1.9,33.8547,35.8623,Asia
Lesotho,82,29,0,2.8,29.61,28.2336,Africa
Liberia,19,152,2,3.1,6.4281,9.4295,Africa
Libya,0,0,0,0.0,26.3351,17.2283,Africa
Lithuania,343,244,56,12.9,55.1694,28.8813,Europe
Luxembourg,236,133,271,11.4,49.8153,6.1296,Europe
Madagascar,26,15,4,0.8,18.7669,46.8691,Africa
Malawi,8,11,1,1.5,13.2543,34.3015,Africa
Malaysia,13,4,0,0.3,4.2105,101.9758,Asia
Maldives,0,0,0,0.0,3.2028,73.2207,Asia
Mali,5,1,1,0.6,17.5707,3.9962,Africa
Malta,149,100,120,6.6,35.9375,14.3754,Europe
Marshall Islands,0,0,0,0.0,7.1315,171.1845,Oceania
Mauritania,0,0,0,0.0,21.0079,10.9408,Africa
Mauritius,98,31,18,2.6,20.3484,57.5522,Africa
Mexico,238,68,5,5.5,23.6345,102.5528,North America
Micronesia,62,50,18,2.3,7.4256,150.5508,Oceania
Monaco,0,0,0,0.0,43.7384,7.4246,Europe
Mongolia,77,189,8,4.9,46.8625,103.8467,Asia
Montenegro,31,114,128,4.9,42.7087,19.3744,Europe
Morocco,12,6,10,0.5,31.7917,7.0926,Africa
Mozambique,47,18,5,1.3,18.6657,35.5296,Africa
Myanmar,5,1,0,0.1,21.9162,95.956,Asia
Namibia,376,3,1,6.8,22.9576,18.4904,Africa
Nauru,49,0,8,1.0,0.5228,166.9315,Oceania
Nepal,5,6,0,0.2,28.3949,84.124,Asia
Netherlands,251,88,190,9.4,52.1326,5.2913,Europe
New Zealand,203,79,175,9.3,40.9006,174.886,Oceania
Nicaragua,78,118,1,3.5,12.8654,85.2072,North America
Niger,3,2,1,0.1,17.6078,8.0817,Africa
Nigeria,42,5,2,9.1,9.082,8.6753,Africa
Niue,188,200,7,7.0,19.0544,169.8672,
Norway,169,71,129,6.7,60.472,8.4689,Europe
Oman,22,16,1,0.7,21.7435,55.9754,Asia
Pakistan,0,0,0,0.0,"303,753",69.3451,Asia
Palau,306,63,23,6.9,7.515,134.5825,Oceania
Panama,285,104,18,7.2,8.538,80.7821,North America
Papua New Guinea,44,39,1,1.5,6.31,143.96,Oceania
Paraguay,213,117,74,7.3,23.4425,58.4438,South America
Peru,163,160,21,6.1,9.19,75.02,South America
Philippines,71,186,1,4.6,12.8797,121.774,Asia
Poland,343,215,56,10.9,51.9194,19.1451,Europe
Portugal,194,67,339,11.0,39.3999,8.2245,Europe
Qatar,1,42,7,0.9,25.3548,51.1839,Asia
South Korea,140,16,9,9.8,35.9078,127.7669,Asia
Moldova,109,226,18,6.3,47.4116,28.3699,Europe
Romania,297,122,167,10.4,45.9432,24.9668,Europe
Russian Federation,247,326,73,11.5,55.7569,37.6151,Europe
Rwanda,43,2,0,6.8,1.9403,29.8739,Africa
St. Kitts & Nevis,194,205,32,7.7,17.3578,62.783,North America
St. Lucia,171,315,71,10.1,13.9094,60.9789,North America
St. Vincent & the Grenadines,120,221,11,6.3,12.9843,61.2872,North America
Samoa,105,18,24,2.6,13.759,172.1046,Oceania
San Marino,0,0,0,0.0,43.9352,12.4468,Europe
Sao Tome & Principe,56,38,140,4.2,0.1864,6.6131,Africa
Saudi Arabia,0,5,0,0.1,23.8859,45.0792,Asia
Senegal,9,1,7,0.3,14.4974,14.4524,Africa
Serbia,283,131,127,9.6,44.0165,21.0059,Europe
Seychelles,157,25,51,4.1,4.6796,55.492,Africa
Sierra Leone,25,3,2,6.7,8.4606,11.7799,Africa
Singapore,60,12,11,1.5,1.3521,103.8198,Asia
Slovakia,196,293,116,11.4,48.669,19.699,Europe
Slovenia,270,51,276,10.6,46.1512,14.9955,Europe
Solomon Islands,56,11,1,1.2,9.6457,160.1562,Oceania
Somalia,0,0,0,0.0,5.1521,46.1996,Africa
South Africa,225,76,81,8.2,30.5595,22.9375,Africa
Spain,284,157,112,10.0,40.4637,3.7492,Europe
Sri Lanka,16,104,0,2.2,7.8731,80.7718,Asia
Sudan,8,13,0,1.7,12.8628,30.2176,Africa
Suriname,128,178,7,5.6,3.9193,56.0278,South America
Swaziland,90,2,2,4.7,26.5225,31.4659,Africa
Sweden,152,60,186,7.2,60.1282,18.6435,Europe
Switzerland,185,100,280,10.2,46.8182,8.2275,Europe
Syria,5,35,16,1.0,34.8021,38.9968,Asia
Tajikistan,2,15,0,0.3,38.861,71.2761,Asia
Thailand,99,258,1,6.4,15.87,100.9925,Asia
Macedonia,106,27,86,3.9,41.6086,21.7453,Europe
Timor-Leste,1,1,4,0.1,8.8742,125.7275,Asia
Togo,36,2,19,1.3,8.6195,0.8248,Africa
Tonga,36,21,5,1.1,21.179,175.1982,Oceania
Trinidad & Tobago,197,156,7,6.4,10.6918,61.2225,North America
Tunisia,51,3,20,1.3,33.8869,9.5375,Africa
Turkey,51,22,7,1.4,38.9637,35.2433,Europe
Turkmenistan,19,71,32,2.2,38.9697,59.5563,Asia
Tuvalu,6,41,9,1.0,7.1095,177.6493,Oceania
Uganda,45,9,0,8.3,1.3733,32.2903,Africa
Ukraine,206,237,45,8.9,48.3794,31.1656,Europe
United Arab Emirates,16,135,5,2.8,23.4241,53.8478,Asia
United Kingdom,219,126,195,10.4,55.3781,3.436,Europe
Tanzania,36,6,1,5.7,6.369,34.8888,Africa
USA,249,158,84,8.7,38.7946,106.5348,North America
Uruguay,115,35,220,6.6,32.5228,55.7658,South America
Uzbekistan,25,101,8,2.4,41.3775,64.5853,Asia
Vanuatu,21,18,11,0.9,15.3767,166.9592,Oceania
Venezuela,333,100,3,7.7,6.4238,66.5897,South America
Vietnam,111,2,1,2.0,14.0583,108.2772,Asia
Yemen,6,0,0,0.1,15.5527,48.5164,Asia
Zambia,32,19,4,2.5,13.1339,27.8493,Africa
Zimbabwe,64,18,4,4.7,19.0154,29.1549,Africa
